,stature,weightkg,waistcircumference,buttockcircumference
866,167.4,62.1,841,980
867,143.9,58.5,824,977
868,171.8,81.0,955,1074
869,158.9,51.1,717,930
870,164.5,71.7,964,1030
871,167.70000000000002,60.7,758,1005
872,155.20000000000002,59.1,829,1030
873,152.3,63.6,999,1005
874,161.20000000000002,71.5,941,1088
875,164.20000000000002,57.400000000000006,776,946
876,173.20000000000002,71.60000000000001,822,1003
877,160.0,54.0,752,931
878,140.9,42.6,716,815
879,162.0,58.5,759,926
880,174.60000000000002,82.80000000000001,898,1112
881,168.8,74.0,852,1055
882,160.60000000000002,76.5,920,1054
883,165.8,85.2,1047,1130
884,159.0,67.10000000000001,904,1066
885,178.10000000000002,76.0,875,1060
886,169.0,69.5,850,1062
887,165.4,75.4,987,1079
888,158.3,66.3,870,1079
889,152.3,48.0,743,912
890,168.5,83.0,910,1100
891,167.20000000000002,75.60000000000001,964,1095
892,164.10000000000002,78.4,934,1046
893,164.4,59.400000000000006,780,985
894,159.70000000000002,76.60000000000001,951,1104
895,173.20000000000002,67.8,795,969
896,152.9,51.7,815,907
897,162.0,66.2,848,1015
898,164.3,66.5,797,966
899,155.60000000000002,61.300000000000004,927,961
900,163.0,72.9,986,1086
901,161.4,70.10000000000001,884,1103
902,146.4,42.6,673,872
903,174.9,72.9,810,1039
904,161.8,76.10000000000001,933,1076
905,163.10000000000002,71.9,995,1077
906,170.4,79.4,966,1100
907,166.9,70.5,874,1036
908,158.60000000000002,72.7,1013,1044
909,160.20000000000002,60.900000000000006,735,998
910,162.0,80.0,1072,1130
911,157.5,62.5,834,1046
912,151.3,76.80000000000001,1065,1167
913,157.3,57.800000000000004,818,973
914,164.9,63.900000000000006,828,990
915,165.70000000000002,74.9,945,1040
916,153.8,65.0,900,1002
917,168.4,63.300000000000004,831,1033
918,155.0,52.6,822,932
919,163.0,76.60000000000001,1021,1117
920,169.3,93.4,1157,1148
921,155.70000000000002,66.7,861,1042
922,162.70000000000002,62.2,765,971
923,166.60000000000002,94.2,1085,1078
924,159.9,64.10000000000001,880,995
925,154.70000000000002,69.2,1012,1074
926,163.60000000000002,64.60000000000001,831,1006
927,154.70000000000002,52.5,797,916
928,162.9,49.0,762,918
929,156.0,74.9,922,1108
930,175.10000000000002,85.2,1035,1092
931,162.5,77.2,1012,1083
932,157.3,64.3,864,986
933,159.9,72.2,962,1079
934,154.70000000000002,69.3,914,983
935,173.5,73.7,862,1094
936,167.0,72.5,957,1045
937,167.8,81.60000000000001,897,1147
938,160.4,57.0,812,964
